congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
117,Senate,42101,62,0,CO,100,,,"HICKENLOOPER, John Wright",H000273,1952,,-0.249,-0.055,-25.90239,0.97103,881,7,,-0.229,-0.108
117,Senate,20707,1,0,CT,100,,,"MURPHY, Christopher",M001169,1973,,-0.272,-0.206,-17.69179,0.98025,887,5,,-0.32,-0.26
117,Senate,41101,1,0,CT,100,,,"BLUMENTHAL, Richard",B001277,1946,,-0.436,-0.162,-20.21222,0.9776,892,7,,-0.365,-0.242
117,Senate,15015,11,0,DE,100,,,"CARPER, Thomas Richard",C000174,1947,,-0.179,-0.226,-31.2892,0.96594,903,8,,-0.304,-0.333
117,Senate,40916,11,0,DE,100,,,"COONS, Christopher A.",C001088,1963,,-0.232,-0.211,-12.34856,0.98637,900,3,,-0.256,-0.197
117,Senate,41102,43,0,FL,200,,,"RUBIO, Marco",R000595,1971,,0.611,-0.17,-148.67355,0.84073,857,59,,0.647,-0.106
117,Senate,41903,43,0,FL,200,,,"SCOTT, Richard Lynn (Rick)",S001217,1952,,0.669,0.16,-94.55233,0.89889,887,40,,0.723,0.182
117,Senate,41904,44,0,GA,200,,,"LOEFFLER, Kelly",L000594,1970,,0.555,-0.203,-0.16867,0.91912,2,0,,0.0,0.0
117,Senate,42103,44,0,GA,100,,,"OSSOFF, Thomas Jonathan (Jon)",O000174,1987,,-0.44,0.429,-25.95263,0.97044,865,11,,-0.465,0.513
117,Senate,42105,44,0,GA,100,,,"WARNOCK, Raphael Gamaliel",W000790,1969,,-0.416,0.353,-28.90894,0.96683,857,16,,-0.392,0.463
117,Senate,20713,82,0,HI,100,,,"HIRONO, Mazie",H001042,1947,,-0.513,-0.083,-13.26722,0.98537,900,4,,-0.483,-0.196
117,Senate,41112,82,0,HI,100,,,"SCHATZ, Brian Emanuel",S001194,1972,,-0.444,-0.103,-18.87883,0.97901,890,6,,-0.443,-0.027
117,Senate,29345,63,0,ID,200,,,"CRAPO, Michael Dean",C000880,1951,,0.501,0.288,-179.43303,0.81741,890,94,,0.45,0.395
117,Senate,40902,63,0,ID,200,,,"RISCH, James",R000584,1943,,0.549,0.397,-164.39385,0.82225,840,85,,0.466,0.411
117,Senate,15021,21,0,IL,100,,,"DURBIN, Richard Joseph",D000563,1944,,-0.348,-0.304,-9.50422,0.98954,904,2,,-0.313,-0.181
117,Senate,21325,21,0,IL,100,,,"DUCKWORTH, Tammy",D000622,1968,,-0.336,0.091,-14.65533,0.9836,886,5,,-0.322,-0.212
117,Senate,21133,22,0,IN,200,,,"YOUNG, Todd",Y000064,1972,,0.447,-0.048,-164.68343,0.82968,882,57,,0.419,0.02
117,Senate,41900,22,0,IN,200,,,"BRAUN, Michael",B001310,1954,,0.8,0.6,-90.60235,0.90217,880,38,,0.74,0.375
117,Senate,14226,31,0,IA,200,,,"GRASSLEY, Charles Ernest",G000386,1933,,0.357,-0.042,-241.96516,0.76562,906,114,,0.417,-0.12
117,Senate,41502,31,0,IA,200,,,"ERNST, Joni",E000295,1970,,0.536,-0.021,-172.18073,0.82137,875,75,,0.574,-0.16
117,Senate,21734,32,0,KS,200,,,"MARSHALL, Roger Wayne",M001198,1960,,0.589,0.167,-121.76677,0.87132,884,47,,0.643,0.099
117,Senate,29722,32,0,KS,200,,,"MORAN, Jerry",M000934,1954,,0.416,0.214,-151.72913,0.82956,812,62,,0.413,0.328
117,Senate,14921,51,0,KY,200,,,"McCONNELL, Addison Mitchell (Mitch)",M000355,1942,,0.404,0.02,-203.44761,0.79421,883,89,,0.419,0.015
117,Senate,41104,51,0,KY,200,,,"PAUL, Rand",P000603,1963,,0.891,-0.454,-146.00656,0.84149,846,63,,0.905,-0.425
117,Senate,20919,45,0,LA,200,,,"CASSIDY, Bill",C001075,1957,,0.468,-0.065,-226.7835,0.77259,879,98,,0.474,-0.033
117,Senate,41703,45,0,LA,200,,,"KENNEDY, John Neely",K000393,1951,,0.553,-0.109,-223.28638,0.76945,852,91,,0.569,-0.089
117,Senate,41300,2,0,ME,328,,,"KING, Angus Stanley, Jr.",K000383,1944,,-0.162,-0.201,-23.65376,0.97406,900,6,,-0.193,-0.159
117,Senate,49703,2,0,ME,200,,,"COLLINS, Susan Margaret",C001035,1952,,0.118,-0.53,-91.66703,0.90377,906,38,,0.138,-0.513
117,Senate,15408,52,0,MD,100,,,"CARDIN, Benjamin Louis",C000141,1943,,-0.32,-0.227,-13.47036,0.9851,897,7,,-0.295,-0.311
117,Senate,20330,52,0,MD,100,,,"VAN HOLLEN, Christopher",V000128,1959,,-0.392,-0.208,-10.23327,0.98816,859,3,,-0.374,-0.102
117,Senate,14435,3,0,MA,100,,,"MARKEY, Edward John",M000133,1946,,-0.515,-0.465,-29.09741,0.96798,894,11,,-0.647,-0.472
117,Senate,41301,3,0,MA,100,,,"WARREN, Elizabeth",W000817,1949,,-0.752,-0.337,-26.53817,0.97094,900,10,,-0.67,-0.466
117,Senate,20923,23,0,MI,100,,,"PETERS, Gary C.",P000595,1958,,-0.246,-0.184,-13.94345,0.98444,889,6,,-0.284,-0.119
117,Senate,29732,23,0,MI,100,,,"STABENOW, Deborah Ann",S000770,1950,,-0.343,-0.017,-15.34299,0.98306,898,6,,-0.337,0.044
117,Senate,40700,33,0,MN,100,,,"KLOBUCHAR, Amy",K000367,1960,,-0.283,-0.357,-17.15908,0.98101,895,9,,-0.297,-0.131
117,Senate,41706,33,0,MN,100,,,"SMITH, Tina",S001203,1958,,-0.397,-0.073,-14.62461,0.98383,897,7,,-0.447,-0.079
117,Senate,29534,46,0,MS,200,,,"WICKER, Roger F.",W000437,1951,,0.376,0.349,-164.5018,0.83159,892,80,,0.381,0.332
117,Senate,41707,46,0,MS,200,,,"HYDE-SMITH, Cindy",H001079,1959,,0.45,0.347,-159.44895,0.83236,869,72,,0.457,0.353
117,Senate,29735,34,0,MO,200,,,"BLUNT, Roy",B000575,1950,,0.398,0.18,-262.25106,0.72797,826,126,,0.314,0.182
117,Senate,41901,34,0,MO,200,,,"HAWLEY, Joshua David",H001089,1979,,0.764,-0.223,-132.13966,0.86202,890,57,,0.813,-0.177
117,Senate,21338,64,0,MT,200,,,"DAINES, Steve",D000618,1962,,0.586,-0.026,-119.24949,0.86967,854,44,,0.592,0.068
117,Senate,40702,64,0,MT,100,,,"TESTER, Jon",T000464,1956,,-0.215,0.169,-48.43918,0.94783,904,19,,-0.184,0.148
117,Senate,41302,35,0,NE,200,,,"FISCHER, Debra (Deb)",F000463,1951,,0.464,0.31,-135.45537,0.85658,875,49,,0.455,0.255
117,Senate,41503,35,0,NE,200,,,"SASSE, Benjamin Eric",S001197,1972,,0.669,-0.25,-168.18766,0.82105,853,79,,0.573,-0.098
117,Senate,21743,65,0,NV,100,,,"ROSEN, Jacklyn Sheryl",R000608,1957,,-0.288,0.323,-24.26636,0.97292,884,11,,-0.259,0.202
117,Senate,41700,65,0,NV,100,,,"CORTEZ MASTO, Catherine Marie",C001113,1964,,-0.361,0.324,-31.73349,0.96539,901,15,,-0.237,0.208
117,Senate,40906,4,0,NH,100,,,"SHAHEEN, Jeanne",S001181,1947,,-0.238,-0.135,-15.54199,0.98207,859,6,,-0.235,-0.13
117,Senate,41702,4,0,NH,100,,,"HASSAN, Margaret (Maggie)",H001076,1958,,-0.234,0.023,-42.15825,0.95409,897,18,,-0.212,0.185
117,Senate,29373,12,0,NJ,100,,,"MENENDEZ, Robert",M000639,1954,,-0.366,-0.119,-24.58487,0.97233,876,9,,-0.443,-0.012
117,Senate,41308,12,0,NJ,100,,,"BOOKER, Cory Anthony",B001288,1969,,-0.583,-0.276,-24.43754,0.97267,882,10,,-0.516,-0.415
117,Senate,20930,66,0,NM,100,,,"HEINRICH, Martin",H001046,1971,,-0.33,-0.027,-16.83017,0.98112,883,7,,-0.439,0.053
117,Senate,20932,66,0,NM,100,,,"LUJÁN, Ben Ray",L000570,1972,,-0.368,0.012,-15.09134,0.98207,834,7,,-0.421,0.048
117,Senate,14858,13,0,NY,100,,,"SCHUMER, Charles Ellis (Chuck)",S000148,1950,,-0.355,-0.418,-48.54843,0.94703,892,15,,-0.242,-0.617
117,Senate,20735,13,0,NY,100,,,"GILLIBRAND, Kirsten",G000555,1966,,-0.469,-0.403,-15.66124,0.98269,897,7,,-0.385,-0.521
117,Senate,29548,47,0,NC,200,,,"BURR, Richard M.",B001135,1955,,0.435,-0.07,-207.32327,0.76528,775,100,,0.363,0.074
117,Senate,41504,47,0,NC,200,,,"TILLIS, Thomas Roland (Thom)",T000476,1960,,0.398,-0.11,-238.66021,0.75445,847,108,,0.399,-0.152
117,Senate,21350,36,0,ND,200,,,"CRAMER, Kevin",C001096,1961,,0.401,0.38,-148.24635,0.82831,787,66,,0.386,0.532
117,Senate,41107,36,0,ND,200,,,"HOEVEN, John",H001061,1957,,0.392,0.442,-135.64271,0.857,879,61,,0.443,0.461
117,Senate,29386,24,0,OH,200,,,"PORTMAN, Robert Jones (Rob)",P000449,1955,,0.371,-0.208,-201.86383,0.79229,867,82,,0.338,-0.061
117,Senate,29389,24,0,OH,100,,,"BROWN, Sherrod",B000944,1952,,-0.427,-0.102,-13.45853,0.98509,896,6,,-0.402,-0.094
117,Senate,15424,53,0,OK,200,,,"INHOFE, James Mountain",I000024,1934,,0.552,0.045,-123.1535,0.85879,809,49,,0.539,0.111
117,Senate,21166,53,0,OK,200,,,"LANKFORD, James",L000575,1968,,0.604,0.144,-96.70688,0.89812,900,34,,0.67,0.001
117,Senate,14871,72,0,OR,100,,,"WYDEN, Ronald Lee",W000779,1949,,-0.33,-0.482,-16.87245,0.98135,896,9,,-0.349,-0.572
117,Senate,40908,72,0,OR,100,,,"MERKLEY, Jeff",M001176,1956,,-0.442,-0.739,-24.27891,0.97245,869,8,,-0.459,-0.656
117,Senate,29935,14,0,PA,200,,,"TOOMEY, Patrick Joseph",T000461,1961,,0.624,-0.378,-195.04865,0.78411,802,102,,0.614,-0.487
117,Senate,40703,14,0,PA,100,,,"CASEY, Robert (Bob), Jr.",C001070,1960,,-0.313,0.166,-21.33746,0.97636,892,7,,-0.296,0.046
117,Senate,29142,5,0,RI,100,,,"REED, John F. (Jack)",R000122,1949,,-0.367,-0.173,-11.26759,0.9876,903,4,,-0.384,-0.235
117,Senate,40704,5,0,RI,100,,,"WHITEHOUSE, Sheldon",W000802,1955,,-0.355,-0.086,-13.462,0.98507,895,5,,-0.37,-0.187
117,Senate,21173,48,0,SC,200,,,"SCOTT, Tim",S001184,1965,,0.628,-0.005,-141.80071,0.85226,887,58,,0.611,0.009
117,Senate,29566,48,0,SC,200,,,"GRAHAM, Lindsey O.",G000359,1955,,0.37,-0.277,-243.49062,0.74522,828,145,,0.318,-0.353
117,Senate,29754,37,0,SD,200,,,"THUNE, John",T000250,1961,,0.43,0.221,-141.99422,0.85359,897,56,,0.465,0.269
117,Senate,41505,37,0,SD,200,,,"ROUNDS, Marion Michael (Mike)",R000605,1954,,0.35,0.101,-184.0076,0.7717,710,88,,0.357,0.04
117,Senate,20351,54,0,TN,200,,,"BLACKBURN, Marsha",B001243,1952,,0.628,0.15,-106.63143,0.88249,853,41,,0.667,0.15
117,Senate,42100,54,0,TN,200,,,"HAGERTY, William Francis (Bill)",H000601,1959,,0.68,-0.106,-135.67697,0.85697,879,54,,0.711,-0.209
117,Senate,40305,49,0,TX,200,,,"CORNYN, John",C001056,1952,,0.472,-0.078,-190.92324,0.79861,849,90,,0.451,-0.119
117,Senate,41304,49,0,TX,200,,,"CRUZ, Rafael Edward (Ted)",C001098,1970,,0.802,-0.185,-74.85782,0.9156,849,35,,0.783,-0.072
117,Senate,41110,67,0,UT,200,,,"LEE, Mike",L000577,1971,,0.891,-0.454,-137.62589,0.85791,898,66,,0.866,-0.5
117,Senate,41902,67,0,UT,200,,,"ROMNEY, Willard Mitt (Mitt)",R000615,1947,,0.29,0.308,-218.70682,0.77545,860,95,,0.287,0.229
117,Senate,14307,6,0,VT,100,,,"LEAHY, Patrick Joseph",L000174,1940,,-0.36,-0.121,-8.63674,0.98985,847,3,,-0.403,-0.16
117,Senate,29147,6,0,VT,328,,,"SANDERS, Bernard",S000033,1941,,-0.539,-0.406,-102.25498,0.88263,819,34,,-0.925,-0.357
117,Senate,40909,40,0,VA,100,,,"WARNER, Mark",W000805,1954,,-0.205,-0.053,-13.34528,0.9851,889,2,,-0.275,-0.159
117,Senate,41305,40,0,VA,100,,,"KAINE, Timothy Michael (Tim)",K000384,1958,,-0.244,-0.066,-17.2648,0.98044,874,5,,-0.274,-0.051
117,Senate,39310,73,0,WA,100,,,"CANTWELL, Maria E.",C000127,1958,,-0.305,-0.408,-10.53113,0.98834,898,3,,-0.381,-0.132
117,Senate,49308,73,0,WA,100,,,"MURRAY, Patty",M001111,1950,,-0.352,-0.303,-9.00333,0.98981,879,2,,-0.388,-0.152
117,Senate,20146,56,0,WV,200,,,"CAPITO, Shelley Moore",C001047,1953,,0.278,0.132,-173.59634,0.82042,877,69,,0.326,0.113
117,Senate,40915,56,0,WV,100,,,"MANCHIN, Joe, III",M001183,1947,,-0.058,0.404,-84.41226,0.90672,862,27,,-0.078,0.381
117,Senate,29940,25,0,WI,100,,,"BALDWIN, Tammy",B001230,1962,,-0.492,-0.133,-22.30707,0.97541,896,10,,-0.467,-0.027
117,Senate,41111,25,0,WI,200,,,"JOHNSON, Ron",J000293,1955,,0.634,-0.141,-137.22499,0.8514,853,58,,0.617,0.035
117,Senate,20953,68,0,WY,200,,,"LUMMIS, Cynthia M.",L000571,1954,,0.694,-0.336,-142.88342,0.84643,857,62,,0.722,-0.361
117,Senate,40707,68,0,WY,200,,,"BARRASSO, John A.",B001261,1952,,0.537,0.222,-119.82844,0.86327,815,45,,0.542,0.144
